"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"801","Key College",2,1,10110,10110,19237,NA,"27300",3,0.375,0.375,0,0.25,0.7,NA,NA,3304
"802","Hillsborough Community College",2,1,2097,7641,8126,NA,"28100",1,0,0,0,0,NA,NA,3615,5467
"803","Hobe Sound Bible College",3,1,4940,4940,11083,0.6786,"PrivacySuppressed",2,0,0,0,0,NA,NA,NA,1528
"804","Cortiva Institute-Florida",1,1,11765,11765,20223,NA,"23400",3,0,0,0,0,1,NA,NA,NA
"805","Indian River State College",2,1,2246,8268,6287,0.3756,"24200",1,0,0,0,0,NA,NA,2472,7402
"806","International Academy of Design and Technology-Tampa",3,1,19080,19080,26278,0.3275,"24700",3,0.3785,0.1536,0.0242,0.1522,NA,NA,NA,4124
"807","International Academy",1,1,NA,NA,NA,NA,"16000",3,0.6333,0.23,0.0167,0.1133,NA,NA,NA,NA
"808","AI Miami International University of Art and Design",3,1,30550,30550,42297,0.488,"25000",3,0.2654,0.0988,0.0185,0.3743,0.4491,NA,NA,4417
"809","ATI College of Health",2,0,32000,32000,42401,NA,"25200",3,0.0645,0.5517,0.0182,0.3011,0.545,NA,NA,4790
"810","ITT Technical Institute-Tampa",2,0,17148,17148,24813,0.4396,"30200",3,0,0.0394,0.0036,0,0.465,NA,NA,5309
"811","Jacksonville University",3,1,25300,25300,34944,0.414,"38000",2,0,0,0,0,0.5352,1030,NA,6735
"812","Jones College-Jacksonville",3,1,6690,6690,15888,0.2647,"30100",2,0.241,0.6672,0.006,0.0572,NA,NA,NA,NA
"813","Keiser University-Ft. Lauderdale",2,1,14176,14176,24089,0.7239,"28600",3,0.4532,0.2484,0.0122,0.258,0.7386,NA,NA,4965
"814","Heritage Institute-Ft Myers",2,1,NA,NA,NA,NA,"19000",3,0.5052,0.1611,0.0104,0.2493,NA,NA,NA,3287
"815","La Belle Beauty School",1,1,NA,NA,NA,NA,"13100",3,0,0.0094,0,0.9906,NA,NA,NA,NA
"816","Lake City Community College",2,1,2448,9571,7884,NA,"24100",1,0,0,0,0,NA,NA,3022,4620
"817","Lake Technical Center",1,1,NA,NA,NA,NA,"24700",1,0,0,0,0,NA,NA,NA,NA
"818","Lake-Sumter Community College",2,1,2556,9627,7274,NA,"24800",1,0,0,0,0,NA,NA,2398,4575
"819","Lee County High Tech Center Central",1,1,NA,NA,NA,NA,"25100",1,0.5127,0.2532,0.0105,0.2089,NA,NA,NA,NA
"820","Lively Technical Center",1,1,NA,NA,NA,NA,"21600",1,0,0,0,0,NA,NA,NA,NA
"821","Lindsey Hopkins Technical Education Center",1,1,NA,NA,NA,NA,"28700",1,0.0486,0.6623,0.0033,0.2859,NA,NA,NA,NA
"822","Loraines Academy Inc",1,1,NA,NA,NA,NA,"18800",3,0,0,0,0,NA,NA,NA,NA
"823","Luther Rice University",3,1,5232,5232,21119,0.1053,"34800",2,0,0,0,0,NA,NA,NA,4600
"824","State College of Florida-Manatee-Sarasota",2,1,2640,9941,15322,0.3063,"25100",1,0,0,0,0,NA,NA,9461,5477
"825","Manatee Technical Institute",1,1,NA,NA,NA,NA,"26500",1,0.6714,0.136,0.0143,0.1607,NA,NA,NA,NA
"826","Manhattan Hairstyling Academy",1,0,NA,NA,NA,NA,"15100",3,0,0,0,0,0.6016,NA,NA,NA
"827","Margate School of Beauty Inc",1,0,NA,NA,NA,NA,"15700",3,0.1513,0.2773,0.0252,0.5092,NA,NA,NA,NA
"828","Traviss Career Center",1,1,2845,9000,10450,NA,"26100",1,0,0,0,0,NA,NA,6990,NA
"829","Trinity International University",3,1,NA,NA,NA,NA,"35600",2,0,0,0,0,NA,NA,NA,5267
"830","Miami Lakes Educational Center",1,1,NA,NA,NA,NA,"29700",1,0,0,0,0,NA,NA,NA,NA
"831","Miami Dade College",2,1,2586,9378,18540,0.2498,"26000",1,0,0,0,0,NA,NA,13386,6946
"832","University of Miami",3,1,36188,36188,49950,0.7953,"44800",2,0,0,0,0,0.444,1284,NA,9573
"833","Mid Florida Tech",1,1,NA,NA,NA,NA,"20400",1,0,0,0,0,NA,NA,NA,NA
"834","Beauty Schools of America",1,1,NA,NA,NA,NA,"13900",3,0.0105,0.0262,0.0026,0.9476,NA,NA,NA,NA
"835","Remington College-Tampa Campus",1,0,13950,13950,22104,0.4698,"23200",3,0.3686,0.3333,0,0.2372,0.4463,NA,NA,3403
"836","Everest Institute-North Miami",1,0,NA,NA,NA,NA,"23500",3,0.02,0.7724,0.0024,0.1482,0.8841,NA,NA,2879
"837","Everest Institute-Hialeah",1,0,NA,NA,NA,NA,"23500",3,0.0311,0.2832,0.0111,0.6427,0.8651,NA,NA,2890
"838","Academy of Healing Arts Massage & Facial Skin Care",1,1,NA,NA,NA,NA,"16100",3,0.352,0.128,0.032,0.472,NA,NA,NA,NA
"839","Lincoln College of Technology",1,0,17536,17536,25057,0.4142,"25700",3,0.2022,0.419,0.0079,0.1247,NA,NA,NA,4227
"840","Gulf Coast College",1,0,11407,11407,26153,NA,"19500",3,0.3591,0.4807,0.0166,0.1326,NA,NA,NA,4517
"841","Paul Mitchell the School-Jacksonville",1,1,NA,NA,NA,NA,"14400",3,0,0,0,0,NA,NA,NA,NA
"842","North Florida Community College",2,1,2466,9260,6354,NA,"23900",1,0,0,0,0,NA,NA,853,4526
"843","University of North Florida",3,1,4193,17582,15436,0.493,"36300",1,0,0,0,0,0.6358,1082,8287,6359
"844","Northwood University-Florida Education Center",3,1,18408,18408,29937,0.4408,"37500",2,0,0,0,0,0.5461,909,NA,6288
"845","Nova Southeastern University",3,1,21100,21100,32462,0.3615,"41600",2,0,0,0,0,0.4484,1002,NA,8559
"846","Northwest Florida State College",2,1,2272,9198,12663,0.3583,"24300",1,0,0,0,0,NA,NA,9346,5804
"847","Orange Park International School of Beauty",1,0,NA,NA,NA,NA,NA,3,0,0,0,0,NA,NA,NA,NA
"848","Everest University-North Orlando",1,1,14320,14320,22252,0.3104,"22500",3,0.2371,0.4743,0.0167,0.2114,0.7554,NA,NA,2153
"849","Orlando Tech",1,1,NA,NA,NA,NA,"28200",1,0,0,0,0,NA,NA,NA,NA
"850","Palm Beach Atlantic University-West Palm Beach",3,1,22700,22700,33008,0.5553,"32600",2,0,0,0,0,0.6881,1044,NA,6564
"851","Palm Beach State College",2,1,1990,7195,7247,0.2715,"27400",1,0,0,0,0,NA,NA,2931,5841
"852","Pasco-Hernando Community College",2,1,2439,9273,8600,NA,"24700",1,0,0,0,0,NA,NA,4368,5313
"853","Pensacola Junior College",2,1,2018,7608,10181,NA,"22700",1,0,0,0,0,NA,NA,5219,5067
"854","Pinellas Technical Education Center-Clearwater",1,1,NA,NA,NA,NA,"26700",1,0,0,0,0,NA,NA,NA,NA
"855","Polk State College",2,1,2585,9596,9667,NA,"26400",1,0,0,0,0,NA,NA,5093,5206
"856","Radford M Locklin Technical Center",1,1,1868,7438,5203,NA,"19900",1,0,0,0,0,NA,NA,2389,NA
"857","Saint Vincent de Paul Regional Seminary",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5532
"858","ATI Career Training Center",1,0,12253,12253,19988,NA,"25200",3,0.0055,0.1375,0.0046,0.2149,0.8043,NA,NA,NA
"859","ATI Career Training Center",1,0,NA,NA,NA,NA,"25200",3,0.1279,0.701,8e-04,0.1437,NA,NA,NA,NA
"860","Ridge Career Center",1,1,2120,8474,16445,NA,"19900",1,0.6214,0.1946,0.0054,0.175,NA,NA,14598,NA
"861","Ringling College of Art and Design",3,1,28880,28880,43004,0.6337,"28800",2,0,0,0,0,0.7341,NA,NA,7277
"862","Riverside Hairstyling Academy",1,1,NA,NA,NA,NA,"18900",3,0,0,0,0,NA,NA,NA,NA
"863","Robert Morgan Educational Center",1,1,NA,NA,NA,NA,"21200",1,0,0,0,0,NA,NA,NA,NA
"864","Rollins College",3,1,36220,36220,49587,0.6593,"35200",2,0,0,0,0,0.6159,1200,NA,8252
"865","First Coast Technical College",1,1,NA,NA,NA,NA,"22200",1,0,0,0,0,NA,NA,NA,NA
"866","Saint Leo University",3,1,17346,17346,28180,0.4297,"40700",2,0.4257,0.3265,0.0145,0.0764,0.7646,1004,NA,6498
"867","St Petersburg College",2,1,2614,9491,10012,0.2869,"27300",1,0,0,0,0,NA,NA,6736,6306
"868","Pinellas Technical Education Center",1,1,NA,NA,NA,NA,"24400",1,0,0,0,0,NA,NA,NA,NA
"869","Santa Fe College",2,1,2031,7620,11984,0.5683,"27200",1,0,0,0,0,NA,NA,8589,4806
"870","Sarasota County Technical Institute",1,1,NA,NA,NA,NA,"27000",1,0,0,0,0,NA,NA,NA,NA
"871","Argosy University-Sarasota",3,1,18732,18732,NA,NA,"36000",3,0,0,0,0,NA,NA,NA,5964
"872","Seminole State College of Florida",2,1,2743,9807,9010,NA,"27100",1,0,0,0,0,NA,NA,6291,5919
"873","Sheridan Technical Center",1,1,NA,NA,NA,NA,"28100",1,0,0,0,0,NA,NA,NA,NA
"874","Saint John Vianney College Seminary",3,1,17000,17000,31300,0.4,"PrivacySuppressed",2,0.377,0.0328,0,0.3934,0.9286,NA,NA,3901
"875","Saint Johns River Community College",2,1,2318,7668,10091,NA,"26100",1,0,0,0,0,NA,NA,6126,5252
"876","South Florida Community College",1,1,2580,9680,8208,NA,"22700",1,0,0,0,0,NA,NA,3478,5171
"877","University of South Florida-Main Campus",3,1,4577,15386,17671,0.4823,"35400",1,0,0,0,0,0.4244,1151,10051,8158
"878","Saint Thomas University",3,1,21690,21690,29631,0.3737,"43600",2,0,0,0,0,0.9115,880,NA,8665
"879","Stenotype Institute of Jacksonville Inc",1,1,14900,14900,28525,NA,"26700",3,0.7158,0.2526,0.0035,0.0211,NA,NA,NA,3144
"880","Stetson University",3,1,31770,31770,41272,0.6176,"33500",2,0,0,0,0,0.5343,1093,NA,8335
"881","Southeastern University",3,1,15000,15000,24570,0.4774,"27400",2,0,0,0,0,NA,NA,NA,6005
"882","Benes International School of Beauty",1,1,NA,NA,NA,NA,"16000",3,0,0,0,0,NA,NA,NA,NA
"883","Suwannee-Hamilton Technical Center",1,1,NA,NA,NA,NA,"23300",1,0,0,0,0,NA,NA,NA,NA
"884","Tallahassee Community College",2,1,1946,6882,9121,NA,"25500",1,0,0,0,0,NA,NA,5573,6350
"885","Talmudic College of Florida",3,1,10500,10500,21400,1,"PrivacySuppressed",2,0.6452,0,0,0.129,0.9,NA,NA,9565
"886","Everest University-Tampa",1,0,13536,13536,21769,0.3368,"24800",3,0.1931,0.3244,0.0152,0.3611,0.7336,NA,NA,2077
"887","Everest University-Largo",1,0,18048,18048,27623,0.3083,"22500",3,0.5368,0.2898,0.0233,0.1156,0.6145,NA,NA,2534
"888","The University of Tampa",3,1,22482,22482,31402,0.5662,"35900",2,0.6273,0.0547,0.014,0.0999,0.603,1063,NA,7358
"889","Taylor Technical Institute",1,1,NA,NA,NA,NA,"18400",1,0.7143,0.2442,0.0138,0.0138,NA,NA,NA,NA
"890","Tom P Haney Technical Center",1,1,NA,NA,NA,NA,"22000",1,0,0,0,0,NA,NA,NA,NA
"891","ATI Career Training Center",2,0,17100,17100,27197,NA,"23000",3,0.0792,0.7574,0,0.1238,NA,NA,NA,3664
"892","Trinity Baptist College",3,1,7950,7950,14120,0.4651,"24900",2,0,0,0,0,0.6385,859,NA,3199
"893","Trinity College of Florida",3,1,11200,11200,19252,0.2143,"21500",2,0,0,0,0,0.8481,949,NA,4509
"894","Fashion Focus Hair Academy",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"895","Valencia Community College",2,1,2673,9927,13209,NA,"26300",1,0,0,0,0,NA,NA,8260,6153
"896","Warner University",3,1,15320,15320,25112,0.4701,"33800",2,0.5941,0.1934,0.0085,0.111,0.4464,928,NA,4835
"897","Washington-Holmes Technical Center",1,1,NA,NA,NA,NA,"22600",1,0.7975,0.1672,0.0015,0.0077,NA,NA,NA,NA
"898","Webber International University",3,1,17850,17850,28394,0.3361,"26900",2,0,0,0,0,0.5573,937,NA,4513
"899","Rasmussen College-Ocala",2,1,13160,13160,20833,0.3663,"28300",3,0.6056,0.1439,0.0076,0.0989,NA,NA,NA,4763
"900","Rasmussen College-Pasco County",2,1,13160,13160,20987,0.3354,"28300",3,0.6139,0.1441,0.0064,0.0987,NA,NA,NA,4930
"901","The University of West Florida",3,1,3649,14813,13060,0.4534,"32100",1,0,0,0,0,0.6806,1053,7419,6616
"902","Westside Tech",1,1,NA,NA,NA,NA,"17800",1,0,0,0,0,NA,NA,NA,NA
"903","McFatter Technical Center",1,1,NA,NA,NA,NA,"30800",1,0,0,0,0,NA,NA,NA,NA
"904","Winter Park Tech",1,1,NA,NA,NA,NA,"22900",1,0,0,0,0,NA,NA,NA,NA
"905","Withlacoochee Technical Institute",1,1,NA,NA,NA,NA,"21100",1,0.8827,0.0525,0,0.0432,NA,NA,NA,NA
"906","Abraham Baldwin Agricultural College",2,1,2696,8678,11353,0.1796,"26300",1,0.7122,0.2067,0.0064,0.0426,0.7947,NA,7682,4929
"907","United Education Institute",1,0,NA,NA,NA,NA,"18400",3,0,0,0,0,1,NA,NA,NA
"908","Agnes Scott College",3,1,30105,30105,40910,0.6651,"32400",2,0.4907,0.2491,0.0409,0.0508,0.4627,NA,NA,7383
"909","Interactive College of Technology",1,1,7490,7490,14520,NA,"19700",3,0.1877,0.5502,0.1359,0.1197,NA,NA,NA,2464
"910","Interactive College of Technology",1,1,7490,7490,15046,NA,"19700",3,0,0.4717,0.0943,0.434,NA,NA,NA,NA
"911","Albany Technical College",1,1,2043,3840,16447,NA,"18900",1,0.2457,0.7347,0.0035,0.0035,NA,NA,10767,4618
"912","Darton College",2,1,2512,8014,8830,NA,"27000",1,0.5069,0.4362,0.0094,0.0169,NA,NA,5491,4803
"913","Albany State University",3,1,4060,13352,13616,0.419,"24900",1,0.0439,0.9165,8e-04,0.0055,0.2987,876,8764,5817
"914","Andrew College",2,1,11416,11416,23170,NA,"20200",2,0.4537,0.467,0.0132,0.0485,0.5564,837,NA,3436
"915","Armstrong Atlantic State University",3,1,4026,13318,17850,0.3394,"34400",1,0.6759,0.2204,0.0314,0.0415,0.6633,984,14022,6033
"916","The Art Institute of Atlanta",3,1,23535,23535,41434,0.286,"25000",3,0.2926,0.3351,0.0229,0.0453,0.4574,NA,NA,4412
"917","Georgia Career Institute",1,1,NA,NA,NA,NA,"15800",3,0.5453,0.4111,0.0117,0.0128,NA,NA,NA,NA
"918","Atlanta Technical College",1,1,2046,3846,10716,NA,"18800",1,0.0347,0.9299,0.01,0.0088,NA,NA,4639,4815
"919","Atlanta Christian College",3,1,15150,15150,28427,0.297,"26300",2,0,0,0,0,0.5667,943,NA,4965
"920","Atlanta Metropolitan College",2,1,2268,7770,13463,NA,"22500",1,0.0077,0.9357,0.0058,0.0089,NA,NA,9723,5528
"921","Atlanta's John Marshall Law School",4,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,8707
"922","Atlanta School of Massage",1,1,NA,NA,NA,NA,"22900",3,0,0,0,0,NA,NA,NA,NA
"923","Clark Atlanta University",3,1,17038,17038,29180,0.4252,"27400",2,0.0016,0.9007,9e-04,0.0016,0.5918,889,NA,5965
"924","Augusta Technical College",1,1,2055,3855,8769,NA,"21600",1,0.4206,0.5246,0.016,0.0202,NA,NA,3159,5101
"925","Augusta State University",3,0,3708,13000,13369,0.195,"30000",1,0.5565,0.2784,0.0116,0.0369,0.572,962,7849,6052
"926","Bainbridge College",1,1,2426,7928,8403,NA,"21100",1,0.367,0.5577,0.0015,0.011,0.7634,NA,3141,4171
"927","Bauder College",2,1,NA,NA,NA,0.2951,"19900",3,0.0193,0.6004,0.0073,0.0147,NA,NA,NA,4146
"928","Beauty College of America",1,1,NA,NA,NA,NA,"14700",3,0.0235,0.9176,0.0471,0.0118,NA,NA,NA,NA
"929","East Central Technical College",1,0,2064,3864,12596,NA,"20000",1,0.5771,0.4017,0.0033,0.0099,NA,NA,6267,3713
"930","Berry College",3,1,23360,23360,33198,0.5893,"32100",2,0,0,0,0,0.67,1142,NA,6518
"931","Beulah Heights University",3,1,8220,8220,28550,0.129,"26400",2,0,0,0,0,NA,NA,NA,3617
"932","Brenau University",3,1,19356,19356,29960,0.5079,"37900",2,0,0,0,0,0.3802,965,NA,5832
"933","Brewton-Parker College",3,1,15390,15390,26585,0.3041,"28600",2,0,0,0,0,0.5451,864,NA,4689
"934","Brown College of Court Reporting and Medical Transcription",1,1,13600,13600,20536,NA,"26300",3,0,0,0,0,0.8036,NA,NA,3334
"935","College of Coastal Georgia",2,1,2260,8242,9964,0.1715,"23200",1,0.7035,0.2313,0.0115,0.0295,NA,NA,5793,5396
"936","West Georgia Technical College",1,1,2085,3885,14387,NA,"22600",1,0.6693,0.2785,0.0087,0.0206,NA,NA,8664,4340
"937","Clayton State University",3,1,4082,13374,16152,0.2678,"33000",1,0.2384,0.6237,0.0414,0.0432,0.6194,970,11374,6616
"938","Columbia Theological Seminary",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8292
"939","Columbus Technical College",1,1,2031,4062,12739,NA,"22300",1,0.4315,0.4649,0.0171,0.0315,NA,NA,7295,4737
"940","Columbus State University",3,1,4248,13540,14145,0.3337,"29200",1,0.5589,0.328,0.0171,0.0457,0.5872,957,9733,6325
"941","Georgia Northwestern Technical College",1,1,2043,3843,11316,NA,"23300",1,0.8672,0.0942,0.0062,0.0196,NA,NA,6024,4994
"942","Covenant College",3,1,25270,25270,33520,0.5763,"34200",2,0,0,0,0,0.6416,1148,NA,6203
"943","Dalton State College",2,1,2400,8382,8016,0.1653,"26600",1,0.5206,0.0169,0.0064,0.1143,NA,NA,3772,5700
"944","Pro Way Hair School",1,1,NA,NA,NA,NA,"13900",3,0,0.9915,0,0.0085,NA,NA,NA,NA
"945","DeVry University-Georgia",3,1,14592,14592,29191,0.2381,"40300",3,0.2356,0.5944,0.0215,0.0404,0.7214,NA,NA,6335
"946","South University-Savannah",3,1,14735,14735,24942,0.3061,"27300",3,0.5015,0.3298,0.0081,8e-04,0.82,NA,NA,6366
"947","East Georgia College",2,1,2260,7762,10954,NA,"23900",1,0.5624,0.3813,0.007,0.0185,NA,NA,7389,4698
"948","Emmanuel College",3,1,12880,12880,19283,0.4348,"25000",2,0.708,0.2088,0.0044,0.0555,0.3235,960,NA,4365
"949","Emory University",3,1,38036,38036,49708,0.8803,"51500",2,0,0,0,0,0.2662,1403,NA,11381
"950","Georgia Highlands College",2,1,2152,7654,10487,NA,"27900",1,0.8009,0.1058,0.0177,0.0454,0.6702,NA,7746,5169
"951","Fort Valley State University",3,1,4236,13528,15942,0.3024,"23300",1,0.0177,0.9446,0.0018,0.0114,0.472,894,10637,5027
"952","Grady Health System Professional Schools",1,1,NA,NA,NA,NA,"50400",1,0.5833,0.3571,0.0238,0.0238,NA,NA,NA,NA
"953","Georgia Institute of Technology-Main Campus",3,1,7506,25716,16052,0.7918,"60200",1,0.63,0.0601,0.1648,0.0492,0.6091,1323,7476,11384
"954","Georgia Southwestern State University",3,1,3986,13278,16150,0.3558,"29100",1,0.6151,0.2996,0.0124,0.0216,0.7008,959,10936,6025
"955","Gainesville State College",2,0,2448,7794,10987,0.148,"26400",1,0.7952,0.0523,0.0269,0.0787,0.8609,NA,7916,4761
"956","Georgia College & State University",3,1,5764,19396,17674,0.4849,"32300",1,0.8594,0.0608,0.0129,0.0285,0.6166,1109,11758,6110
"957","Georgia Military College-Milledgeville Campus",2,1,4619,4619,10482,NA,"26700",1,0.6024,0.3243,0.0135,0.022,NA,NA,9116,4448
"958","Georgia Southern University",3,1,4640,14222,15848,0.4735,"33200",1,0.6881,0.2153,0.0091,0.0319,0.5029,1087,14024,6616
"959","Georgia State University",3,1,7498,25708,18829,0.4979,"34700",1,0.3873,0.3355,0.1118,0.0698,0.4098,1060,11352,8003
"960","University of Georgia",3,1,7530,25740,16758,0.7976,"38000",1,0.7947,0.0671,0.0702,0.0295,0.5561,1218,10305,9134
"961","Gordon College",2,1,2462,8444,12736,0.1651,"26400",1,0.4892,0.4327,0.0116,0.0285,0.5459,NA,9341,5397
"962","Griffin Technical College",1,1,2043,3843,8061,NA,"23000",1,0.519,0.3882,0.0145,0.0077,NA,NA,2276,4652
"963","Gupton Jones College of Funeral Service",2,1,9000,9000,18526,NA,"24900",2,0.3243,0.6667,0,0.009,NA,NA,NA,3551
"964","Gwinnett College",2,1,8800,8800,22986,NA,"23500",3,0,0,0,0,NA,NA,NA,1949
"965","Gwinnett Technical College",1,1,2229,4029,10134,NA,"30200",1,0.4695,0.3107,0.0673,0.0701,NA,NA,5474,5971
"966","Heart of Georgia Technical College",1,0,2055,3855,13049,NA,"20900",1,0.5419,0.4405,0.0013,0.0052,NA,NA,8200,4793
"967","Middle Georgia Technical College",1,0,2043,3843,6409,NA,"21300",1,0.5273,0.3798,0.0127,0.0044,NA,NA,735,4224
"968","Interdenominational Theological Center",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,4350
"969","Kennesaw State University",3,1,4342,13924,17648,0.3824,"35600",1,0.6953,0.1297,0.0299,0.0519,0.6322,1062,13630,6557
"970","LaGrange College",3,1,21094,21094,31168,0.5211,"31900",2,0,0,0,0,0.661,1033,NA,6018
"971","Lanier Technical College",1,1,2070,3870,12508,NA,"22000",1,0.7966,0.1066,0.0237,0.0468,NA,NA,6860,4807
"972","Life University",3,1,8352,8352,27480,1,"29600",2,0,0,0,0,0.6871,910,NA,6095
"973","Central Georgia Technical College",1,1,2043,3843,9806,NA,"18800",1,0.3504,0.6137,0.0093,0.0042,NA,NA,4198,5774
"974","Macon State College",3,0,2282,8264,10170,0.1291,"28000",1,0.5555,0.3731,0.0186,0.023,NA,NA,5346,5587
"975","Chattahoochee Technical College",1,1,2792,5192,12799,NA,"24600",1,0.574,0.3091,0.0159,0.033,NA,NA,7629,4868
"976","Herzing University",3,0,14860,14860,28989,0.22,"27800",3,0.0755,0.6338,0.0279,0.0197,0.8359,NA,NA,4296
"977","Medical College of Georgia",3,1,NA,NA,NA,NA,"57700",1,0.7205,0.1388,0.0675,0.0225,NA,NA,NA,8041
"978","Mercer University",3,1,29540,29540,40179,0.632,"42400",2,0.4948,0.3286,0.0472,0.0291,0.6221,1187,NA,7373
"979","Middle Georgia College",2,1,2468,8450,8808,0.1713,"26400",1,0.5216,0.4184,0.0075,0.0215,0.8857,NA,5290,4745
"980","Morehouse College",3,1,21376,21376,36582,0.5973,"32000",2,0,0,0,0,0.6765,1029,NA,6668
"981","Morehouse School of Medicine",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,NA
"982","Moultrie Technical College",1,1,2043,3843,12493,NA,"18400",1,0.6026,0.344,0.003,0.0272,NA,NA,6634,4453
"983","North Georgia College & State University",3,1,4260,13552,12369,0.4396,"35300",1,0.8479,0.0323,0.0117,0.037,0.5392,1080,7709,6146
"984","North Georgia Technical College",1,1,2085,3885,12332,NA,"20300",1,0.897,0.0706,0.0079,0.0137,NA,NA,6291,4177
"985","Oglethorpe University",3,1,26650,26650,36826,0.5439,"31100",2,0.4826,0.2311,0.0358,0.0542,0.4163,1161,NA,7041
"986","The Esani Institute",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.0145,0.942,0,0.029,NA,NA,NA,NA
"987","Paine College",3,1,11794,11794,20381,0.2824,"20600",2,0,0,0,0,0.3887,760,NA,4510
"988","Piedmont College",3,1,18000,18000,28868,0.4196,"35700",2,0.8462,0.0994,0.0142,0.0189,0.5965,979,NA,5700
"989","Portfolio Center",1,1,18365,18365,29060,NA,"48400",3,0,0,0,0,0.9474,NA,NA,NA
"990","Reinhardt College",3,1,16670,16670,26926,0.3972,"32000",2,0,0,0,0,0.1303,954,NA,5587
"991","Savannah Technical College",1,1,2063,3863,8349,NA,"22300",1,0.3735,0.5059,0.0361,0.032,NA,NA,5009,4930
"992","Savannah College of Art and Design",3,1,28265,28265,40636,0.6618,"25000",2,0.258,0.0355,0.0138,0.0259,0.6787,1073,NA,7062
"993","Savannah State University",3,1,3998,13290,12201,0.2916,"25100",1,0.0233,0.9539,0.0028,0.0042,NA,NA,7851,5947
"994","Shorter College",3,1,16300,16300,24951,0.538,"41900",2,0,0,0,0,0.6486,982,NA,4816
"995","South Georgia College",2,1,2378,7880,9998,NA,"24800",1,0.5947,0.3498,0.0071,0.03,0.5972,862,6280,4632
"996","South Georgia Technical College",1,1,2115,3915,8325,NA,"20800",1,0.3722,0.6003,0.0025,0.0045,NA,NA,2366,4537
"997","The Creative Circus",1,1,19369,19369,29092,NA,"59600",3,0.7521,0.0385,0.0299,0.0427,NA,NA,NA,NA
"998","Spelman College",3,1,20926,20926,35515,0.8276,"36900",2,0,0,0,0,0.3517,1036,NA,6641
"999","Southern Polytechnic State University",3,1,4498,14994,14286,0.2785,"45700",1,0.596,0.2036,0.0546,0.0506,0.6207,1101,9699,6252
"1000","Southwest Georgia Technical College",1,1,2043,3843,8603,NA,"22900",1,0.5986,0.3568,0.0079,0.0118,NA,NA,2827,4826
"1001","Thomas University",3,1,11894,11894,21910,0.7581,"32200",2,0.4221,0.3299,0.0117,0.0104,NA,NA,NA,4916
"1002","Toccoa Falls College",3,1,15575,15575,25715,0.6485,"23200",2,0,0,0,0,0.5522,966,NA,4797
"1003","Truett-McConnell College",2,1,14000,14000,23320,0.1758,"25900",2,0,0,0,0,0.6161,851,NA,4517
"1004","Valdosta Technical College",1,1,2076,3876,8670,NA,"19900",1,0.5552,0.382,0.0081,0.009,NA,NA,2793,4539
"1005","Valdosta State University",3,1,4706,14288,18638,0.4311,"31000",1,0.5844,0.3063,0.0101,0.0277,0.7077,1010,14261,6110
"1006","Waycross College",2,0,2212,7714,10073,NA,"23500",1,0.7582,0.2044,0.0097,0.0133,NA,NA,5705,4521
"1007","Wesleyan College",3,1,17500,17500,27300,0.4091,"29000",2,0,0,0,0,0.5108,1037,NA,5690
"1008","University of West Georgia",3,1,4582,14164,14910,0.3654,"30100",1,0.5895,0.2597,0.0138,0.0323,0.5758,972,10658,5924
"1009","Young Harris College",2,1,19335,19335,24560,0.3969,"26300",2,0.8994,0.0292,0.0073,0.0379,0.5112,991,NA,5509
"1010","Heald College-Honolulu",2,0,12315,12315,20102,NA,"29400",3,0,0,0,0,NA,NA,NA,4559
"1011","Chaminade University of Honolulu",3,1,17060,17060,27309,0.4331,"33200",2,0,0,0,0,0.9537,943,NA,6333
"1012","University of Hawaii at Hilo",3,1,4888,14392,12892,0.3097,"28000",1,0,0,0,0,0.5615,950,8865,7973
"1013","University of Hawaii at Manoa",3,1,7167,19215,14707,0.4819,"34900",1,0,0,0,0,0.667,1068,10327,9797
"1014","Hawaii Institute of Hair Design",1,1,NA,NA,NA,NA,"17800",3,0,0,0,0,NA,NA,NA,NA
"1015","Hawaii Pacific University",3,1,14960,14960,24703,0.3922,"38700",2,0.277,0.0552,0.2017,0.1384,0.8185,966,NA,7097
"1016","Honolulu Community College",2,1,1926,6558,7422,NA,"26700",1,0,0,0,0,NA,NA,4157,7168
"1017","Kapiolani Community College",2,1,1956,6588,7447,NA,"28400",1,0,0,0,0,NA,NA,3283,7020
"1018","Kauai Community College",2,1,1956,6588,6283,NA,"27600",1,0,0,0,0,NA,NA,3121,7001
"1019","Leeward Community College",2,1,1941,6573,5448,NA,"26700",1,0,0,0,0,NA,NA,1681,7042
