"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"135","ABC Beauty College Inc",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"136","Arkansas Baptist College",2,1,7018,7018,18197,0.0541,"18400",2,0,0,0,0,NA,NA,NA,3885
"137","Arkansas Beauty School",1,1,NA,NA,NA,NA,"13900",3,0,1,0,0,NA,NA,NA,NA
"138","Arkansas Beauty College",1,1,NA,NA,NA,NA,NA,3,0.9492,0,0,0.0508,NA,NA,NA,NA
"139","Lyon College",3,1,19968,19968,29024,0.4583,"33000",2,0,0,0,0,0.6718,1131,NA,5904
"140","Arkansas College of Barbering and Hair Design",1,1,NA,NA,NA,NA,"11500",3,0.0159,0.9841,0,0,NA,NA,NA,NA
"141","Arthur's Beauty College Inc-Fort Smith",1,1,NA,NA,NA,NA,"13300",3,0,0,0,0,NA,NA,NA,NA
"142","University of Arkansas",3,1,6459,15336,18461,0.5912,"34800",1,0.8199,0.0471,0.0259,0.039,0.5609,1175,13867,8141
"143","University of Arkansas at Pine Bluff",3,1,4796,9476,14478,0.2503,"22300",1,0,0,0,0,0.3272,784,9572,4956
"144","Arkansas State University-Beebe",1,1,2136,3480,10051,NA,"25600",1,0.8739,0.0541,0.0063,0.0248,NA,NA,6406,4628
"145","Arkansas State University-Main Campus",3,1,6370,14290,16351,0.3724,"26200",1,0.6776,0.1716,0.0055,0.0097,0.7703,990,8768,5913
"146","Arkansas Tech University",3,1,4554,8562,13853,0.4381,"27200",1,0.8543,0.0488,0.0139,0.0357,0.9367,1069,9024,5542
"147","University of Arkansas at Monticello",3,1,4750,9010,12507,0.2864,"24800",1,0.6449,0.3319,0.0024,0.0121,NA,NA,7478,4992
"148","Arthur's Beauty College Inc",1,1,NA,NA,NA,NA,"12900",3,0,0,0,0,NA,NA,NA,NA
"149","Baptist Health Schools-Little Rock",1,1,7340,7340,19189,NA,"43900",2,0.8033,0.1517,0.0127,0.0147,0.7132,970,NA,NA
"150","Bee Jays Academy",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0.3243,0.2703,0,0,NA,NA,NA,NA
"151","Black River Technical College",1,1,1752,4440,8792,NA,"22300",1,0.9506,0.0221,0.0011,0.011,NA,NA,4927,4386
"152","University of Central Arkansas",3,1,6698,11903,17705,0.4093,"30600",1,0.7002,0.17,0.0186,0.0228,0.5804,1105,12893,5941
"153","Central Baptist College",3,1,9950,9950,17484,0.2673,"27900",2,0.7665,0.1626,0.0048,0.0242,0.7978,1125,NA,4119
"154","Cossatot Community College of the University of Arkansas",1,1,1840,5440,10935,NA,"18900",1,0,0,0,0,NA,NA,5646,4177
"155","Crowley's Ridge College",2,1,9160,9160,19460,0.4783,"23200",2,0.8169,0.1549,0.007,0.0141,NA,NA,NA,3003
"156","Crowleys Ridge Technical Institute",1,1,1350,1350,8279,NA,"15200",1,0.4868,0.5088,0.0044,0,NA,NA,4818,NA
"157","East Arkansas Community College",1,1,2040,2700,7090,NA,"17500",1,0.502,0.4747,0.0056,0.0113,NA,NA,2300,4816
"158","Eastern College of Health Vocations",1,1,NA,NA,NA,NA,"18000",3,0,0,0,0,NA,NA,NA,NA
"159","Imagine-Paul Mitchell Partner School",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"160","National Park Community College",2,1,2590,5074,15860,NA,"21700",1,0,0,0,0,NA,NA,12201,4572
"161","University of Arkansas Community College-Batesville",1,1,1772,3356,8068,NA,"21000",1,0.919,0.0373,0.0105,0.017,NA,NA,3611,4116
"162","Harding University",3,1,13580,13580,22200,0.6118,"32800",2,0.8445,0.0412,0.0059,0.023,0.7259,1125,NA,6117
"163","Henderson State University",3,1,5083,9163,14629,0.3474,"29200",1,0.6961,0.2042,0.0081,0.0244,0.313,1048,6314,5465
"164","Hendrix College",3,1,30270,30270,37758,0.6554,"29300",2,0,0,0,0,0.813,1291,NA,6465
"165","Hot Springs Beauty College",1,1,NA,NA,NA,NA,"11800",3,0,0,0,0,NA,NA,NA,NA
"166","Jefferson Regional Medical Center School of Nursing",1,1,NA,NA,NA,NA,"49000",2,0.7714,0.2143,0,0,0.6667,NA,NA,NA
